NO;DATE;GULAPASIRLOKAL
1034;16/12/2021;13250
1035;17/12/2021;13250
1036;20/12/2021;13250
1037;21/12/2021;13250
1038;22/12/2021;13300
1039;23/12/2021;13350
1040;24/12/2021;13350
1041;27/12/2021;13350
1042;28/12/2021;13300
1043;29/12/2021;13300
1044;30/12/2021;13300
1045;31/12/2021;13300
1046;03/01/2022;13350
1047;04/01/2022;13350
1048;05/01/2022;13350
1049;06/01/2022;13350
1050;07/01/2022;13350
1051;10/01/2022;13450
1052;11/01/2022;13550
1053;12/01/2022;13600
1054;13/01/2022;13750
1055;14/01/2022;13800
1056;17/01/2022;14000
1057;18/01/2022;14100
1058;19/01/2022;14100
1059;20/01/2022;14150
1060;21/01/2022;14150
1061;24/01/2022;14200
1062;25/01/2022;14200
1063;26/01/2022;14200
1064;27/01/2022;14200
1065;28/01/2022;14200
1066;31/01/2022;14200
1067;01/02/2022;13500
1068;02/02/2022;14200
1069;03/02/2022;14200
1070;04/02/2022;14200
1071;07/02/2022;14200
1072;08/02/2022;14200
1073;09/02/2022;14200
1074;10/02/2022;14200
1075;11/02/2022;14250
1076;14/02/2022;14200
1077;15/02/2022;14200
1078;16/02/2022;14200
1079;17/02/2022;14250
1080;18/02/2022;14200
1081;21/02/2022;14200
1082;22/02/2022;14200
1083;23/02/2022;14200
1084;24/02/2022;14200
1085;25/02/2022;14200
1086;28/02/2022;-
1087;01/03/2022;14200
1088;02/03/2022;14200
1089;03/03/2022;-
1090;04/03/2022;14200
1091;07/03/2022;14200
1092;08/03/2022;14200
1093;09/03/2022;14200
1094;10/03/2022;14200
1095;11/03/2022;14250
1096;14/03/2022;14250
1097;15/03/2022;14250
1098;16/03/2022;14300
1099;17/03/2022;14400
1100;18/03/2022;14350
1101;21/03/2022;14450
1102;22/03/2022;14500
1103;23/03/2022;14500
1104;24/03/2022;14500
1105;25/03/2022;14500
1106;28/03/2022;14600
1107;29/03/2022;14600
1108;30/03/2022;14600
1109;31/03/2022;14600
1110;01/04/2022;14700
1111;04/04/2022;14700
1112;05/04/2022;14700
1113;06/04/2022;14700
1114;07/04/2022;14700
1115;08/04/2022;14750
1116;11/04/2022;14750
1117;12/04/2022;14750
1118;13/04/2022;14800
1119;14/04/2022;14800
1120;15/04/2022;14450
1121;18/04/2022;14800
1122;19/04/2022;14800
1123;20/04/2022;14800
1124;21/04/2022;14800
1125;22/04/2022;14850
1126;25/04/2022;14800
1127;26/04/2022;14850
1128;27/04/2022;14850
1129;28/04/2022;14850
1130;29/04/2022;15000
1131;02/05/2022;-
1132;03/05/2022;-
1133;04/05/2022;14750
1134;05/05/2022;15400
1135;06/05/2022;15400
1136;09/05/2022;14850
1137;10/05/2022;14850
1138;11/05/2022;14850
1139;12/05/2022;14850
1140;13/05/2022;14850
1141;16/05/2022;14750
1142;17/05/2022;14850
1143;18/05/2022;14850
1144;19/05/2022;14850
1145;20/05/2022;14850
1146;23/05/2022;14800
1147;24/05/2022;14800
